"name","macroclimate_mean","macroclimate_se","microclimate_mean","microclimate_se","macro_higher","relDiff"
"Rh_Mg_ha",9.48346560452636,0.0177601538864078,9.24780816789332,0.016601058582556,10,-2.48492952323852
"beetle_generations_ha",1.71583924060821,0.00858387326266344,1.37479686089347,0.00938405565023406,10,-19.8761265999399
"cohort_count_ha",328.127722535124,2.52328272528853,315.052030174015,3.03591288977338,8,-3.98493984601054
"sap_count_ha",10820.1706720999,95.3430908949548,10463.4015349052,93.8181859275239,7,-3.29725979382713
"sap_count_ha_abal",230.736749122312,2.27514041953993,177.495022746259,2.4480257759532,10,-23.0746626094787
"sap_count_ha_acpl",1.23896013771506,0.0377698706585103,0.523155635725684,0.0128988384700444,10,-57.7746192310507
"sap_count_ha_acps",248.255349075408,2.30109314915808,197.480788132125,2.52323259277709,10,-20.4525546508409
"sap_count_ha_algl",1.54861734987674,0.0430039386053947,1.23401368975173,0.0337601510088885,10,-20.3151320854088
"sap_count_ha_alin",3.26739794467959,0.068027408414529,1.89980492206983,0.0540397825099993,10,-41.8557226809992
"sap_count_ha_alvi",9.86059516566321,0.0496605928840338,10.6464304908378,0.102117488703126,0,7.96945125494133
"sap_count_ha_bepe",17.9025504681073,0.472315196175467,21.5843467851308,0.682759304899491,0,20.5657642109848
"sap_count_ha_cabe",0.0136963543545415,0.000374934636496541,0.0129014575285377,0.000634605673369196,6,-5.80371101263324
"sap_count_ha_coav",0.0221064197808696,0.0027900509305158,0.0171347512668699,0.00185154912885521,8,-22.489704634588
"sap_count_ha_fasy",2568.66281334919,33.7672896654378,2016.18583729564,39.8958814692252,10,-21.5083495265459
"sap_count_ha_frex",73.5626754056826,1.09314601568916,47.6887714677758,1.10831968794386,10,-35.1725977817116
"sap_count_ha_lade",809.156894131085,5.6145154775454,832.9050853836,6.57379194497107,2,2.93493034846064
"sap_count_ha_piab",5152.29591633108,107.732462081296,5391.09074369585,95.4586550434654,3,4.63472656156791
"sap_count_ha_pice",0.259024559075746,0.00759162337969163,0.434920983846135,0.00941304060025911,0,67.9072383707644
"sap_count_ha_pimu",173.388637203264,6.16003834126844,170.982781083889,5.12997719786752,8,-1.3875512018438
"sap_count_ha_pisy",12.1894959056328,0.139475252661149,12.5016131661889,0.112485431336323,4,2.56054280646574
"sap_count_ha_poni",23.7234562829412,0.588085229952073,13.2236381863657,0.440364638412505,10,-44.2592258537204
"sap_count_ha_potr",0.0054201624305428,0.000817649492083073,0.00543667120047191,0.000652772862833472,4,0.304580723191697
"sap_count_ha_qupe",1.06973101369117,0.0155257032925389,1.02629648728724,0.013630737814042,10,-4.0603222537273
"sap_count_ha_quro",1.42337539353528,0.0379754464714741,1.03879959005151,0.0166866263662886,10,-27.0185788816109
"sap_count_ha_saca",392.681264417652,8.80058908158811,456.029350057036,8.46023390945336,0,16.1321894828187
"sap_count_ha_soar",321.134806050168,3.46297890492704,330.027921487964,2.24468891774395,0,2.76927796995238
"sap_count_ha_soau",754.720708668087,6.54492883760183,760.520044818734,4.75767647725034,3,0.768408244803772
"sap_count_ha_tico",5.04904150940148,0.0883803399193592,4.12867741046232,0.0725793960169087,10,-18.2284914319958
"sap_count_ha_tipl",0.0821815084874438,0.00330047538787475,0.0766272137658333,0.0013842760375912,8,-6.75856993116547
"sap_count_ha_ulgl",17.9192081705604,0.28433604320808,14.6413912948844,0.373554980225776,10,-18.2921970908357
