"ecotone","name","macroclimate_mean","macroclimate_se","microclimate_mean","microclimate_se","relDiff_mean","relDiff_se"
"core","sap_count_ha_abal",429.421758568417,6.17741723179205,286.235859213737,3.5755348359739,-33.2663589194701,0.978292938364994
"core","sap_count_ha_acps",504.724571343443,9.19399754561885,357.197437123442,5.58282740699376,-29.148516861015,0.923539231349984
"core","sap_count_ha_fasy",4256.68077708006,65.9283884453768,2748.26526272716,60.6228735687685,-35.3774099679178,1.37543043871612
"core","sap_count_ha_lade",3225.56500846578,20.8741690337491,3290.6880313129,32.883180982557,2.03283898719341,0.977911325635281
"core","sap_count_ha_piab",8214.48182506315,175.233636083005,8230.10781407975,122.598846532919,0.550105921717444,2.42996019049907
"core","sap_count_ha_pice",1340.02763295739,13.1634709418616,1414.28637697981,14.631934647362,5.67064363103563,1.7736000748084
"lower","sap_count_ha_abal",184.119068077033,3.46592082877884,151.356274643178,2.42519832982333,-17.6753651184522,1.1966322911494
"lower","sap_count_ha_lade",804.868792782811,13.2418533975831,841.630527823149,12.9436791068116,4.60948812037389,0.760190660162117
"lower","sap_count_ha_pice",13.3193142892674,0.734855623431183,30.1413988442936,0.598203691102797,130.498877890113,8.84192696178671
"upper","sap_count_ha_abal",2.85607629120338,0.0564733744284436,3.35396067399637,0.0912932767456271,17.782501824123,3.66103619669829
"upper","sap_count_ha_acps",36.1913756403511,0.692204192969087,35.3291585603109,0.648319415828411,-2.36424969609195,0.336163512548796
"upper","sap_count_ha_fasy",3.63973929887133,0.154639900416219,16.4252546563884,1.47882325943456,344.809970669125,23.8102410933203
"upper","sap_count_ha_lade",3988.15957298274,72.9367881327424,4404.1640093133,47.1599855281749,10.6371751783608,1.50558041042813
"upper","sap_count_ha_piab",26.4673534003697,1.99689179333645,98.959785392534,2.06837175736702,288.090591646813,22.295409043131
"upper","sap_count_ha_pice",752.894871927998,17.4271127229298,1002.61895220623,13.1912953969244,33.6974198915968,2.96684861801585
